UTC,Open,High,Low,Close,Volume,Local,TypicalPrice,TPV,CumTPV,CumVolume,VWAP,cluster,price_zscore,volume_zscore,direction
03.12.2025 08:00:00.000 UTC,23759.277,23764.799,23758.299,23759.277,0.00072,2025-12-03 08:00:00,23760.791666666668,17.107770000000002,6591.342281934999,0.27751500000000745,23751.300945659954,3,-2.6427176100536904,4.410826241476297,bearish
03.12.2025 08:00:01.000 UTC,23760.277,23762.288,23760.277,23760.899,0.0006,2025-12-03 08:00:01,23761.15466666667,14.2566928,6605.598974734999,0.27811500000000744,23751.322203889835,2,-2.5259162782611337,3.364138867398268,bearish
03.12.2025 08:00:02.000 UTC,23760.277,23763.255,23760.277,23763.255,0.0006,2025-12-03 08:00:02,23762.262333333332,14.257357399999998,6619.856332134998,0.27871500000000743,23751.345755107624,2,-2.3562591033519333,3.364138867398268,bearish
03.12.2025 08:00:03.000 UTC,23761.266,23761.266,23759.399,23760.788,0.00048,2025-12-03 08:00:03,23760.484333333337,11.405032480000003,6631.2613646149985,0.2791950000000074,23751.361466411727,3,-2.533909464345623,2.31745149332024,bearish
03.12.2025 08:00:04.000 UTC,23760.288,23760.288,23756.277,23757.399,0.00048,2025-12-03 08:00:04,23757.988,11.40383424,6642.665198854998,0.2796750000000074,23751.372839384367,3,-2.7779536773198177,2.31745149332024,bearish
03.12.2025 08:00:05.000 UTC,23757.799,23759.288,23757.799,23758.288,0.00036,2025-12-03 08:00:05,23758.458333333332,8.553045000000001,6651.218243854998,0.2800350000000074,23751.381948166556,2,-2.713936177958969,1.2707641192422117,bearish
03.12.2025 08:00:06.000 UTC,23757.399,23760.255,23757.399,23760.255,0.00048,2025-12-03 08:00:06,23759.303,11.404465440000001,6662.6227092949985,0.2805150000000074,23751.39550218285,2,-2.572291159687948,2.31745149332024,bearish
03.12.2025 08:00:08.000 UTC,23757.799,23757.799,23757.277,23757.288,0.00048,2025-12-03 08:00:08,23757.45466666667,11.403578240000002,6679.727994014998,0.2812350000000074,23751.41072062447,4,-2.7859468634043068,2.31745149332024,bearish
03.12.2025 08:00:09.000 UTC,23756.255,23760.799,23756.255,23760.799,0.0006,2025-12-03 08:00:09,23759.284333333333,14.255570599999999,6693.983564614999,0.2818350000000074,23751.427482799594,2,-2.533117346805825,3.364138867398268,bearish
03.12.2025 08:00:10.000 UTC,23759.899,23760.299,23759.266,23759.266,0.00036,2025-12-03 08:00:10,23759.610333333334,8.553459720000001,6702.537024334999,0.2821950000000074,23751.437921773322,3,-2.6435097275934885,1.2707641192422117,bearish
03.12.2025 08:00:12.000 UTC,23760.755,23762.255,23760.755,23761.255,0.00048,2025-12-03 08:00:12,23761.421666666665,11.4054824,6719.6446212149995,0.2829150000000074,23751.461114521404,2,-2.50028047424261,2.31745149332024,bearish
03.12.2025 08:00:14.000 UTC,23760.755,23762.766,23760.755,23762.266,0.0006,2025-12-03 08:00:14,23761.929,14.257157399999999,6733.901778615,0.2835150000000074,23751.483267604268,2,-2.4274776712574733,3.364138867398268,bearish
03.12.2025 08:00:15.000 UTC,23760.799,23761.299,23760.255,23761.299,0.00036,2025-12-03 08:00:15,23760.951,8.55394236,6742.455720975,0.2838750000000074,23751.4952742398,1,-2.4971120040831556,1.2707641192422117,bearish
