UTC,Open,High,Low,Close,Volume,Local,TypicalPrice,TPV,CumTPV,CumVolume,VWAP,cluster,is_anomaly
03.12.2025 08:00:00.000 UTC,23759.277,23764.799,23758.299,23759.277,0.00072,2025-12-03 08:00:00,23760.791666666668,17.107770000000002,6591.342281934999,0.27751500000000745,23751.300945659954,3,1
03.12.2025 08:00:01.000 UTC,23760.277,23762.288,23760.277,23760.899,0.0006,2025-12-03 08:00:01,23761.15466666667,14.2566928,6605.598974734999,0.27811500000000744,23751.322203889835,2,1
03.12.2025 08:00:02.000 UTC,23760.277,23763.255,23760.277,23763.255,0.0006,2025-12-03 08:00:02,23762.262333333332,14.257357399999998,6619.856332134998,0.27871500000000743,23751.345755107624,2,1
03.12.2025 08:00:03.000 UTC,23761.266,23761.266,23759.399,23760.788,0.00048,2025-12-03 08:00:03,23760.484333333337,11.405032480000003,6631.2613646149985,0.2791950000000074,23751.361466411727,3,1
03.12.2025 08:00:04.000 UTC,23760.288,23760.288,23756.277,23757.399,0.00048,2025-12-03 08:00:04,23757.988,11.40383424,6642.665198854998,0.2796750000000074,23751.372839384367,3,1
03.12.2025 08:00:05.000 UTC,23757.799,23759.288,23757.799,23758.288,0.00036,2025-12-03 08:00:05,23758.458333333332,8.553045000000001,6651.218243854998,0.2800350000000074,23751.381948166556,2,1
03.12.2025 08:00:06.000 UTC,23757.399,23760.255,23757.399,23760.255,0.00048,2025-12-03 08:00:06,23759.303,11.404465440000001,6662.6227092949985,0.2805150000000074,23751.39550218285,2,1
03.12.2025 08:00:07.000 UTC,23757.755,23757.755,23756.788,23756.788,0.00024,2025-12-03 08:00:07,23757.110333333334,5.70170648,6668.324415774999,0.2807550000000074,23751.400387436814,3,1
03.12.2025 08:00:08.000 UTC,23757.799,23757.799,23757.277,23757.288,0.00048,2025-12-03 08:00:08,23757.45466666667,11.403578240000002,6679.727994014998,0.2812350000000074,23751.41072062447,4,1
03.12.2025 08:00:09.000 UTC,23756.255,23760.799,23756.255,23760.799,0.0006,2025-12-03 08:00:09,23759.284333333333,14.255570599999999,6693.983564614999,0.2818350000000074,23751.427482799594,2,1
03.12.2025 08:00:10.000 UTC,23759.899,23760.299,23759.266,23759.266,0.00036,2025-12-03 08:00:10,23759.610333333334,8.553459720000001,6702.537024334999,0.2821950000000074,23751.437921773322,3,1
03.12.2025 08:00:11.000 UTC,23759.899,23759.899,23758.266,23758.266,0.00024,2025-12-03 08:00:11,23758.81033333333,5.70211448,6708.239138814999,0.28243500000000743,23751.44418650246,3,1
03.12.2025 08:00:12.000 UTC,23760.755,23762.255,23760.755,23761.255,0.00048,2025-12-03 08:00:12,23761.421666666665,11.4054824,6719.6446212149995,0.2829150000000074,23751.461114521404,2,1
03.12.2025 08:00:14.000 UTC,23760.755,23762.766,23760.755,23762.266,0.0006,2025-12-03 08:00:14,23761.929,14.257157399999999,6733.901778615,0.2835150000000074,23751.483267604268,2,1
