move_pips,move_points,speed_pips_per_sec,reversal_pips,reversal_pct,volatility,range_pips,directional_strength,duration_seconds,index,quality_score
-221.00000000002183,-22.100000000002183,7.366666666667395,0,0,6.639986141188302,226.44000000000233,20.0,30,2007,22.644000000000233
-190.22000000000844,-19.022000000000844,6.340666666666948,0,0,5.231070981528857,225.32999999999447,3.3333333333333335,30,3469,22.532999999999447
-155.10999999998603,-15.510999999998603,5.170333333332867,0,0,5.274400777753529,210.32999999999447,3.3333333333333335,30,3471,21.032999999999447
-165.22000000000844,-16.522000000000844,5.507333333333615,0,0,6.610792860181809,205.22000000000844,16.666666666666664,30,1487,20.522000000000844
-190.10999999998603,-19.010999999998603,6.336999999999534,0,0,6.7149672995840115,226.3300000000163,20.0,30,2003,20.0
-135.10999999998603,-13.510999999998603,4.503666666666201,0,0,5.372778549659074,200.0,10.0,30,1491,20.0
-198.6699999999837,-19.86699999999837,6.62233333333279,0,0,4.779177810787639,198.6699999999837,23.333333333333332,30,3571,19.86699999999837
-178.55999999999767,-17.855999999999767,5.951999999999923,0,0,4.740365908569379,194.89000000001397,30.0,30,1836,19.489000000001397
-160.0,-16.0,5.333333333333333,0,0,5.2679413197446925,190.4399999999805,16.666666666666664,30,2319,19.04399999999805
-169.89000000001397,-16.989000000001397,5.663000000000466,0,0,4.105039089514034,184.78000000002794,13.333333333333334,30,3404,18.478000000002794
-151.3300000000163,-15.13300000000163,5.044333333333877,0,0,5.180635757817365,183.55999999999767,16.666666666666664,30,1827,18.355999999999767
-175.32999999999447,-17.532999999999447,5.844333333333149,0,0,4.5287034582364925,181.3300000000163,26.666666666666668,30,530,18.13300000000163
-165.21999999997206,-16.521999999997206,5.507333333332402,0,0,5.31824910961827,180.4399999999805,23.333333333333332,30,1831,18.04399999999805
-180.32999999999447,-18.032999999999447,6.010999999999815,0,0,6.464241411788814,205.22000000000844,13.333333333333334,30,1482,18.032999999999447
-160.0,-16.0,5.333333333333333,0,0,4.2173518794036156,180.32999999999447,16.666666666666664,30,2323,18.032999999999447
-135.10999999998603,-13.510999999998603,4.503666666666201,0,0,6.717890786600327,205.22000000000844,10.0,30,1484,18.032999999999447
-179.8899999999776,-17.98899999999776,5.996333333332586,0,0,4.491152895018772,179.8899999999776,13.333333333333334,30,3897,17.98899999999776
-110.0,-11.0,3.6666666666666665,0,0,5.24973592428346,176.3300000000163,10.0,30,3479,17.63300000000163
-175.21999999997206,-17.521999999997206,5.840666666665736,0,0,5.184971980770695,190.4399999999805,23.333333333333332,30,2315,17.521999999997206
-170.4399999999805,-17.04399999999805,5.681333333332684,0,0,4.307908258983184,170.4399999999805,23.333333333333332,30,3893,17.04399999999805
-104.88999999997759,-10.488999999997759,3.4963333333325863,0,0,4.7669168811426825,166.3300000000163,10.0,30,3482,16.63300000000163
-165.10999999998603,-16.510999999998603,5.503666666666201,0,0,4.9389898949846165,165.10999999998603,23.333333333333332,30,1821,16.510999999998603
-115.0,-11.5,3.8333333333333335,0,0,4.7078055502381195,164.89000000001397,6.666666666666667,30,671,16.489000000001397
-163.77999999996973,-16.377999999996973,5.459333333332324,0,0,4.968402803672242,164.77999999999156,16.666666666666664,30,3563,16.477999999999156
-160.10999999998603,-16.010999999998603,5.336999999999534,0,0,5.100517199490184,163.77999999996973,30.0,30,2377,16.377999999996973
-155.0,-15.5,5.166666666666667,0,0,4.960659983551832,163.77999999996973,36.666666666666664,30,2374,16.36699999999837
-134.89000000001397,-13.489000000001397,4.496333333333799,0,0,5.15062210827981,164.89000000001397,16.666666666666664,30,669,16.01100000000224
-159.77999999999156,-15.977999999999156,5.325999999999719,0,0,5.082848649325712,176.22000000003027,20.0,30,1996,15.989000000001397
-146.44000000000233,-14.644000000000233,4.881333333333411,0,0,4.760843196470412,155.22000000000844,10.0,30,3577,15.522000000000844
-136.11000000000786,-13.611000000000786,4.537000000000262,0,0,5.107559135535088,151.11000000000786,6.666666666666667,30,3559,15.111000000000786
-115.0,-11.5,3.8333333333333335,0,0,3.9984543198935008,150.32999999999447,3.3333333333333335,30,546,15.032999999999447
-140.1100000000224,-14.011000000002241,4.670333333334081,0,0,4.647772784621843,150.0,13.333333333333334,30,3243,15.0
-149.77999999999156,-14.977999999999156,4.992666666666385,0,0,4.351621358428,149.77999999999156,6.666666666666667,30,3701,14.977999999999156
-146.11000000000786,-14.611000000000786,4.870333333333595,0,0,4.601259323371969,149.67000000000553,43.333333333333336,30,2371,14.967000000000553
-70.10999999998603,-7.010999999998603,2.3369999999995343,0,0,4.281020870838118,148.88999999999214,13.333333333333334,30,2176,14.888999999999214
-95.11000000002241,-9.511000000002241,3.17033333333408,0,0,3.2170914866276576,148.88999999999214,16.666666666666664,30,946,14.888999999999214
-130.32999999999447,-13.032999999999447,4.344333333333149,0,0,5.1185405274389035,151.11000000000786,6.666666666666667,30,3557,14.611000000000786
-140.32999999999447,-14.032999999999447,4.677666666666482,0,0,4.217825387430106,145.22000000000844,3.3333333333333335,30,3240,14.522000000000844
-144.89000000001397,-14.489000000001397,4.829666666667133,0,0,3.9938533025512046,145.10999999998603,16.666666666666664,30,734,14.510999999998603
-123.6699999999837,-12.36699999999837,4.12233333333279,0,0,3.8895999061453566,145.0,3.3333333333333335,30,2019,14.5
-109.67000000000553,-10.967000000000553,3.655666666666851,0,0,3.410947968985252,145.0,10.0,30,3490,14.5
-115.0,-11.5,3.8333333333333335,0,0,4.256525346352027,140.0,10.0,30,3248,14.0
